year,neighborhood,city,college_pct,unemp_pct,trade_pct,non_trade_pct
2020,Riversdale,Saskatoon,39.1,11.8,17.9,30.7
2021,Riversdale,Saskatoon,41.9,12.6,18.4,30.8
2022,Riversdale,Saskatoon,40.3,11.9,17.6,29.1
2023,Riversdale,Saskatoon,41.6,11,20.1,30.1
2024,Riversdale,Saskatoon,40.8,11.5,19.3,31.9
2020,Cathedral,Regina,39.4,12.2,19.2,31.6
2021,Cathedral,Regina,41.5,11,18.9,30.8
2022,Cathedral,Regina,39.3,11.9,17.8,29
2023,Cathedral,Regina,39.8,10.8,19.4,28.8
2024,Cathedral,Regina,40.1,11.8,19.3,30.6
2020,North Central,Regina,39.7,11.6,18.9,30.4
2021,North Central,Regina,40.2,10.9,19.5,31.9
2022,North Central,Regina,42.7,11.6,19.7,30
2023,North Central,Regina,43.1,10.6,18.4,29.4
2024,North Central,Regina,43.9,10.5,18.2,28.1
2020,East Hill,Prince Albert,41.5,11.1,18.6,31.4
2021,East Hill,Prince Albert,42.6,11.9,18.8,31.2
2022,East Hill,Prince Albert,40.1,11.1,18.9,28.2
2023,East Hill,Prince Albert,42.1,11.6,19,29.7
2024,East Hill,Prince Albert,42.8,10.6,21.1,29.3
2020,Downtown,Moose Jaw,39,12,18.8,30.8
2021,Downtown,Moose Jaw,38.6,11.6,20.1,29.2
2022,Downtown,Moose Jaw,40.5,11.6,18.5,30.5
2023,Downtown,Moose Jaw,42.2,10.4,19.9,30.3
2024,Downtown,Moose Jaw,42.1,10.8,21.2,29.4
2020,Nutana,Saskatoon,40.7,11.3,19.5,29.9
2021,Nutana,Saskatoon,39.5,11.7,17.2,31.4
2022,Nutana,Saskatoon,40.1,11.4,19.5,30.8
2023,Nutana,Saskatoon,42.4,11.3,17.8,29.4
2024,Nutana,Saskatoon,40.5,11.4,18.7,28.1
2020,Warehouse District,Regina,40.7,11.7,16.8,30.7
2021,Warehouse District,Regina,40.7,11.9,19.1,30.1
2022,Warehouse District,Regina,41.9,10.8,20.2,30.7
2023,Warehouse District,Regina,39.6,12.3,20.4,30.5
2024,Warehouse District,Regina,41,11.6,20.9,29.5
2020,Midtown,Prince Albert,40.4,11.8,17.1,28.7
2021,Midtown,Prince Albert,41.4,12.5,18.5,31.8
2022,Midtown,Prince Albert,41,11.8,18.6,28.9
2023,Midtown,Prince Albert,39.8,11.3,20.7,31.8
2024,Midtown,Prince Albert,41.1,11.9,18.6,29.1
2020,Crescent Park,Moose Jaw,40.9,11.5,17,29.2
2021,Crescent Park,Moose Jaw,40.1,12.5,17.9,29.8
2022,Crescent Park,Moose Jaw,41.1,12.3,18.6,29.6
2023,Crescent Park,Moose Jaw,41.9,11.3,20.2,28.9
2024,Crescent Park,Moose Jaw,41.4,11.3,20.4,30.1
2020,Downtown,Swift Current,39.4,12.2,18.8,29.8
2021,Downtown,Swift Current,42,12.3,19.6,31.4
2022,Downtown,Swift Current,41.2,11.1,17.7,30
2023,Downtown,Swift Current,40.3,10.8,19.5,31
2024,Downtown,Swift Current,42.6,11.3,19.7,28.6
